algorithm_name,env_n,size,best_solution,H,states,time
GA,21,8,"[2, 0, 6, 4, 7, 5, 3, 1]",1,5000,0.2649945999983174
random,22,8,"[2, 5, 3, 6, 0, 6, 4, 1]",2,5000,0.023107156997866696
HC,22,8,"[0, 6, 3, 7, 2, 4, 5, 1]",1,281,0.00068519599881256
SA,22,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,1892,0.0057161829972756095
GA,22,8,"[5, 2, 0, 7, 3, 1, 6, 4]",0,1222,0.04290048099937849
random,23,8,"[6, 0, 2, 5, 1, 4, 7, 5]",2,5000,0.023418217999278568
HC,23,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,169,0.00041194700315827504
SA,23,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,1692,0.005109959001856623
GA,23,8,"[7, 5, 2, 6, 3, 0, 4, 1]",1,5000,0.2590786869986914
random,24,8,"[1, 5, 2, 0, 7, 3, 4, 6]",1,5000,0.02325614299843437
HC,24,8,"[6, 2, 3, 5, 0, 4, 1, 7]",1,281,0.0006572540005436167
SA,24,8,"[4, 6, 1, 3, 7, 0, 2, 5]",0,1761,0.005285854000248946
GA,24,8,"[0, 2, 6, 1, 7, 4, 1, 3]",1,5000,0.2572266099996341
random,25,8,"[5, 5, 0, 6, 3, 6, 2, 7]",2,5000,0.023330936001002556
HC,25,8,"[6, 1, 3, 5, 7, 2, 4, 0]",1,225,0.0005395100015448406
SA,25,8,"[3, 1, 4, 7, 5, 0, 2, 6]",0,1346,0.004070943999977317
GA,25,8,"[5, 7, 2, 4, 6, 1, 3, 5]",1,5000,0.26110421599878464
random,26,8,"[1, 5, 0, 2, 7, 4, 6, 3]",1,5000,0.02329232400006731
HC,26,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,225,0.0005381699993449729
SA,26,8,"[1, 6, 4, 7, 0, 3, 5, 2]",0,1438,0.00435288099833997
GA,26,8,"[5, 3, 1, 6, 4, 2, 0, 3]",1,5000,0.2577835560005042
random,27,8,"[5, 7, 5, 0, 2, 4, 6, 3]",1,5000,0.0233283770030539
HC,27,8,"[7, 0, 6, 3, 1, 6, 4, 2]",1,281,0.0006602829998882953
SA,27,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,1759,0.005268146996968426
GA,27,8,"[1, 5, 0, 0, 7, 4, 6, 3]",1,5000,0.2592383150004025
random,28,8,"[0, 3, 6, 2, 7, 1, 4, 0]",1,5000,0.023192835000372725
HC,28,8,"[1, 4, 5, 0, 2, 7, 6, 3]",2,225,0.0005614059991785325
SA,28,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,2709,0.008310310000524623
GA,28,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,2759,0.13460744099938893
random,29,8,"[6, 3, 6, 0, 7, 4, 1, 5]",1,5000,0.023307290000957437
HC,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,225,0.0005339320014172699
SA,29,8,"[7, 1, 3, 0, 6, 4, 2, 5]",0,1516,0.004582851001032395
GA,29,8,"[5, 2, 4, 6, 0, 3, 1, 7]",0,3281,0.1617583139995986
random,0,10,"[8, 1, 1, 9, 7, 0, 3, 6, 9, 5]",3,5000,0.03176881800027331
HC,0,10,"[3, 9, 0, 4, 8, 0, 6, 1, 7, 5]",2,451,0.001612545001989929
SA,0,10,"[0, 8, 4, 7, 1, 2, 9, 6, 3, 5]",1,2758,0.011859949998324737
GA,0,10,"[6, 4, 0, 7, 9, 2, 8, 1, 3, 8]",1,5000,0.25565389500116
random,1,10,"[5, 7, 1, 3, 0, 9, 0, 8, 1, 4]",3,5000,0.03163036700061639
HC,1,10,"[2, 9, 5, 8, 1, 4, 7, 0, 6, 3]",1,541,0.0019371839989617001
SA,1,10,"[4, 0, 3, 8, 2, 7, 9, 1, 5, 5]",1,2758,0.011735766001947923
GA,1,10,"[8, 2, 0, 9, 6, 8, 1, 4, 7, 0]",2,5000,0.2659612930001458
random,2,10,"[4, 2, 8, 3, 9, 6, 5, 2, 0, 7]",3,5000,0.03225358900090214
HC,2,10,"[0, 6, 1, 5, 2, 8, 4, 8, 3, 9]",3,361,0.0013595839991467074
SA,2,10,"[2, 7, 9, 4, 8, 0, 0, 3, 1, 6]",1,2758,0.011884143001225311
GA,2,10,"[4, 9, 3, 9, 7, 2, 0, 7, 1, 8]",2,5000,0.26342632900195895
random,3,10,"[1, 8, 2, 7, 4, 2, 0, 6, 3, 5]",2,5000,0.031773194001289085
HC,3,10,"[3, 6, 8, 2, 0, 9, 7, 4, 1, 9]",1,361,0.0012968480004929006
SA,3,10,"[2, 5, 7, 9, 0, 8, 4, 1, 3, 6]",0,2635,0.011365906000719406
GA,3,10,"[7, 7, 0, 6, 9, 5, 8, 4, 8, 3]",3,5000,0.2594724899972789
random,4,10,"[6, 7, 4, 1, 8, 0, 5, 3, 2, 9]",3,5000,0.0317419200000586
HC,4,10,"[0, 5, 1, 9, 7, 2, 8, 3, 0, 4]",1,631,0.002266937000968028
SA,4,10,"[0, 3, 6, 9, 7, 4, 1, 8, 2, 5]",0,2072,0.008762371999182506
GA,4,10,"[9, 4, 2, 8, 5, 7, 1, 3, 0, 8]",2,5000,0.26153002100181766
random,5,10,"[8, 4, 0, 0, 9, 5, 1, 2, 7, 3]",2,5000,0.031695186997239944
HC,5,10,"[9, 4, 6, 8, 0, 7, 3, 0, 2, 1]",3,181,0.0006437119991460349
SA,5,10,"[2, 8, 5, 7, 1, 3, 0, 6, 4, 9]",0,2397,0.010353752000810346
GA,5,10,"[1, 4, 9, 5, 2, 6, 3, 0, 7, 5]",3,5000,0.2592810779970023
random,6,10,"[1, 8, 2, 7, 3, 0, 9, 1, 6, 2]",2,5000,0.03174206800031243
HC,6,10,"[3, 1, 7, 4, 8, 0, 2, 9, 7, 5]",2,271,0.0009709010009828489
SA,6,10,"[1, 8, 4, 2, 9, 9, 6, 3, 0, 7]",1,2758,0.011732344999472843
GA,6,10,"[4, 2, 8, 3, 1, 7, 9, 0, 5, 0]",2,5000,0.26316880000013043
random,7,10,"[2, 6, 1, 9, 4, 7, 0, 8, 3, 5]",2,5000,0.03175208500033477
HC,7,10,"[2, 0, 6, 3, 1, 8, 1, 5, 9, 0]",2,361,0.0013116779991833027
